Easting,Northing,Load
629785,9122495.004,7
629452,9119479.717,14
631505,9115652.839,2.8
633487,9113834.827,2.8
627188,9109257.98,7
624103,9111696.128,7
622919,9113185.954,14
623586,9115260.451,14
626002,9116568.401,14
630400,9117932.035,14
636496,9112916.659,14
642882,9113422.194,14
629549,9142131.799,28
633004,9141759.666,14
634320,9144480.36,7
635544,9146255.265,7
638642,9143352.802,14
639846,9149492.409,2.8
643431,9150372.425,2.8
645934,9145238.163,7
648254,9143394.028,14
642104,9131055.914,112
639389,9132701.354,112
643470,9131143.84,84
651164,9132839.477,84
650341,9128483.37,84
633989,9137935.861,21
642451,9136494.715,7
644200,9134501.961,21
644675,9139335.273,7
651300,9132255.402,63
650322,9128471.143,105
608892,9131373.431,21
606322,9127239.31,21
599496,9129733.082,7
596391,9130209.571,7
606002,9134454.513,35
606831,9143436.125,21
600480,9153130.672,2.8
599783,9159855.018,1.4
604054,9159569.497,1.4
612668,9159396.392,1.4
611991,9151621.43,1.4
612533,9150050.7,2.8
611574,9141321.215,14
610845,9139787.292,16.8
630322,9122948.062,84
633976,9121994.54,56
634336,9120657.35,42
632377,9119879.829,28
634952,9118702.01,70
636257,9119767.038,84
634862,9118066.462,28
633828,9114236.196,7
637324,9123483.541,84
635545,9123596.347,70
632427,9123347.462,56
641953,9123024.034,168
629936,9122930.73,56
637327,9123468.174,56
611217,9133011.055,42
610624,9129342.239,35
609499,9126559.233,28
608915,9123126.881,14
612110,9121116.642,14
614096,9119345.682,14
620935,9118808.97,14
625181,9124003.648,42
628158,9123335.041,42
625423,9127624.25,42
629033,9131696.292,35
632279,9130455.431,84
633842,9128466.705,84
635415,9126044.779,84
636417,9125246.272,112
637194,9125075.016,112
630045,9135164.262,49
630971,9140026.93,28
628398,9141296.458,14
623903,9139886.513,28
617445,9135784.492,28
