"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,7.65804,"Train",0.65804,"Dataset_1"
599496,9129733.082,7,314.5,1,8.82878,"Train",1.82878,"Dataset_1"
599783,9159855.018,1.4,314.5,1,1.84504,"Train",0.44504,"Dataset_1"
600480,9153130.672,2.8,314.5,1,2.91392,"Train",0.11392,"Dataset_1"
606322,9127239.31,21,314.5,1,11.9892,"Train",-9.0108,"Dataset_1"
608892,9131373.431,21,314.5,1,13.8576,"Train",-7.1424,"Dataset_1"
608915,9123126.881,14,314.5,1,11.0565,"Train",-2.9435,"Dataset_1"
609499,9126559.233,28,314.5,1,14.0285,"Train",-13.9715,"Dataset_1"
610624,9129342.239,35,314.5,1,15.6059,"Train",-19.3941,"Dataset_1"
610845,9139787.292,16.8,314.5,1,9.29955,"Train",-7.50045,"Dataset_1"
611217,9133011.055,42,314.5,1,14.6165,"Train",-27.3835,"Dataset_1"
611574,9141321.215,14,314.5,1,8.38904,"Train",-5.61096,"Dataset_1"
611991,9151621.43,1.4,314.5,1,3.75952,"Train",2.35952,"Dataset_1"
612110,9121116.642,14,314.5,1,10.6583,"Train",-3.3417,"Dataset_1"
612533,9150050.7,2.8,314.5,1,4.26727,"Train",1.46727,"Dataset_1"
612668,9159396.392,1.4,314.5,1,2.14371,"Train",0.74371,"Dataset_1"
614096,9119345.682,14,314.5,1,9.09039,"Train",-4.90961,"Dataset_1"
622919,9113185.954,14,314.5,1,2.24625,"Train",-11.75375,"Dataset_1"
623586,9115260.451,14,314.5,1,4.51465,"Train",-9.48535,"Dataset_1"
625181,9124003.648,42,314.5,1,38.7253,"Train",-3.2747,"Dataset_1"
627188,9109257.98,7,314.5,1,0.557783,"Train",-6.442217,"Dataset_1"
628158,9123335.041,42,314.5,1,48.2925,"Train",6.2925,"Dataset_1"
628398,9141296.458,14,314.5,1,11.7734,"Train",-2.2266,"Dataset_1"
629033,9131696.292,35,314.5,1,39.7849,"Train",4.7849,"Dataset_1"
629452,9119479.717,14,314.5,1,24.2475,"Train",10.2475,"Dataset_1"
630045,9135164.262,49,314.5,1,26.0146,"Train",-22.9854,"Dataset_1"
630322,9122948.062,84,314.5,1,54.8697,"Train",-29.1303,"Dataset_1"
630400,9117932.035,14,314.5,1,16.0562,"Train",2.0562,"Dataset_1"
630971,9140026.93,28,314.5,1,14.2565,"Train",-13.7435,"Dataset_1"
631505,9115652.839,2.8,314.5,1,7.78184,"Train",4.98184,"Dataset_1"
632279,9130455.431,84,314.5,1,58.6897,"Train",-25.3103,"Dataset_1"
632377,9119879.829,28,314.5,1,32.695,"Train",4.695,"Dataset_1"
632427,9123347.462,56,314.5,1,66.5239,"Train",10.5239,"Dataset_1"
633004,9141759.666,14,314.5,1,12.013,"Train",-1.987,"Dataset_1"
633487,9113834.827,2.8,314.5,1,4.54551,"Train",1.74551,"Dataset_1"
633828,9114236.196,7,314.5,1,5.4691,"Train",-1.5309,"Dataset_1"
633842,9128466.705,84,314.5,1,81.9525,"Train",-2.0475,"Dataset_1"
633976,9121994.54,56,314.5,1,58.3864,"Train",2.3864,"Dataset_1"
633989,9137935.861,21,314.5,1,20.0567,"Train",-0.943300000000001,"Dataset_1"
634320,9144480.36,7,314.5,1,8.96757,"Train",1.96757,"Dataset_1"
634862,9118066.462,28,314.5,1,22.9381,"Train",-5.0619,"Dataset_1"
634952,9118702.01,70,314.5,1,27.9422,"Train",-42.0578,"Dataset_1"
635415,9126044.779,84,314.5,1,99.3892,"Train",15.3892,"Dataset_1"
635544,9146255.265,7,314.5,1,7.47185,"Train",0.47185,"Dataset_1"
636257,9119767.038,84,314.5,1,41.503,"Train",-42.497,"Dataset_1"
636417,9125246.272,112,314.5,1,103.726,"Train",-8.274,"Dataset_1"
636496,9112916.659,14,314.5,1,3.81357,"Train",-10.18643,"Dataset_1"
637324,9123483.541,84,314.5,1,94.3109,"Train",10.3109,"Dataset_1"
637327,9123468.174,56,314.5,1,94.1456,"Train",38.1456,"Dataset_1"
638642,9143352.802,14,314.5,1,10.3534,"Train",-3.6466,"Dataset_1"
639389,9132701.354,112,314.5,1,60.7164,"Train",-51.2836,"Dataset_1"
639846,9149492.409,2.8,314.5,1,5.36734,"Train",2.56734,"Dataset_1"
641953,9123024.034,168,314.5,1,126.86,"Train",-41.14,"Dataset_1"
642104,9131055.914,112,314.5,1,90.7546,"Train",-21.2454,"Dataset_1"
642451,9136494.715,7,314.5,1,29.3894,"Train",22.3894,"Dataset_1"
642882,9113422.194,14,314.5,1,4.69019,"Train",-9.30981,"Dataset_1"
643431,9150372.425,2.8,314.5,1,4.83395,"Train",2.03395,"Dataset_1"
643470,9131143.84,84,314.5,1,90.2639,"Train",6.26390000000001,"Dataset_1"
644200,9134501.961,21,314.5,1,43.8723,"Train",22.8723,"Dataset_1"
645934,9145238.163,7,314.5,1,8.19056,"Train",1.19056,"Dataset_1"
650322,9128471.143,105,314.5,1,53.3646,"Train",-51.6354,"Dataset_1"
650341,9128483.37,84,314.5,1,53.0576,"Train",-30.9424,"Dataset_1"
651164,9132839.477,84,314.5,1,32.2591,"Train",-51.7409,"Dataset_1"
651300,9132255.402,63,314.5,1,33.2459,"Train",-29.7541,"Dataset_1"
624103,9111696.128,7,314.5,0,1.32777,"Test",-5.67223,"Dataset_1"
629936,9122930.73,56,314.5,0,53.1814,"Test",-2.8186,"Dataset_1"
629549,9142131.799,28,314.5,0,10.982,"Test",-17.018,"Dataset_1"
606002,9134454.513,35,314.5,0,11.0004,"Test",-23.9996,"Dataset_1"
623903,9139886.513,28,314.5,0,12.4217,"Test",-15.5783,"Dataset_1"
626002,9116568.401,14,314.5,0,7.65074,"Test",-6.34926,"Dataset_1"
648254,9143394.028,14,314.5,0,9.84446,"Test",-4.15554,"Dataset_1"
635545,9123596.347,70,314.5,0,83.3715,"Test",13.3715,"Dataset_1"
604054,9159569.497,1.4,314.5,0,1.96124,"Test",0.56124,"Dataset_1"
634336,9120657.35,42,314.5,0,44.8531,"Test",2.8531,"Dataset_1"
637194,9125075.016,112,314.5,0,109.085,"Test",-2.91500000000001,"Dataset_1"
606831,9143436.125,21,314.5,0,6.45452,"Test",-14.54548,"Dataset_1"
620935,9118808.97,14,314.5,0,11.2757,"Test",-2.7243,"Dataset_1"
644675,9139335.273,7,314.5,0,17.9451,"Test",10.9451,"Dataset_1"
617445,9135784.492,28,314.5,0,15.4816,"Test",-12.5184,"Dataset_1"
625423,9127624.25,42,314.5,0,43.4256,"Test",1.4256,"Dataset_1"
