"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,10.0708,"Train",3.0708,"Dataset_1"
599496,9129733.082,7,314.5,1,12.2845,"Train",5.2845,"Dataset_1"
599783,9159855.018,1.4,314.5,1,2.37839,"Train",0.97839,"Dataset_1"
600480,9153130.672,2.8,314.5,1,3.77402,"Train",0.97402,"Dataset_1"
606322,9127239.31,21,314.5,1,18.2099,"Train",-2.7901,"Dataset_1"
608892,9131373.431,21,314.5,1,21.0495,"Train",0.0494999999999983,"Dataset_1"
608915,9123126.881,14,314.5,1,15.7937,"Train",1.7937,"Dataset_1"
609499,9126559.233,28,314.5,1,21.203,"Train",-6.797,"Dataset_1"
610624,9129342.239,35,314.5,1,23.8084,"Train",-11.1916,"Dataset_1"
610845,9139787.292,16.8,314.5,1,12.5006,"Train",-4.2994,"Dataset_1"
611217,9133011.055,42,314.5,1,21.8345,"Train",-20.1655,"Dataset_1"
611574,9141321.215,14,314.5,1,11.0841,"Train",-2.9159,"Dataset_1"
611991,9151621.43,1.4,314.5,1,4.89676,"Train",3.49676,"Dataset_1"
612110,9121116.642,14,314.5,1,14.1283,"Train",0.128299999999999,"Dataset_1"
612533,9150050.7,2.8,314.5,1,5.52872,"Train",2.72872,"Dataset_1"
612668,9159396.392,1.4,314.5,1,2.81848,"Train",1.41848,"Dataset_1"
614096,9119345.682,14,314.5,1,11.1916,"Train",-2.8084,"Dataset_1"
622919,9113185.954,14,314.5,1,2.1706,"Train",-11.8294,"Dataset_1"
623586,9115260.451,14,314.5,1,4.5807,"Train",-9.4193,"Dataset_1"
625181,9124003.648,42,314.5,1,40.7534,"Train",-1.2466,"Dataset_1"
627188,9109257.98,7,314.5,1,0.455184,"Train",-6.544816,"Dataset_1"
628158,9123335.041,42,314.5,1,45.5389,"Train",3.5389,"Dataset_1"
628398,9141296.458,14,314.5,1,18.1401,"Train",4.1401,"Dataset_1"
