"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,7.46448,"Train",0.46448,"Dataset_1"
599496,9129733.082,7,314.5,1,8.8868,"Train",1.8868,"Dataset_1"
599783,9159855.018,1.4,314.5,1,2.20195e-05,"Train",-1.3999779805,"Dataset_1"
600480,9153130.672,2.8,314.5,1,0.00102626,"Train",-2.79897374,"Dataset_1"
606322,9127239.31,21,314.5,1,13.4951,"Train",-7.5049,"Dataset_1"
608892,9131373.431,21,314.5,1,11.166,"Train",-9.834,"Dataset_1"
608915,9123126.881,14,314.5,1,10.9904,"Train",-3.0096,"Dataset_1"
609499,9126559.233,28,314.5,1,16.3066,"Train",-11.6934,"Dataset_1"
610624,9129342.239,35,314.5,1,15.6594,"Train",-19.3406,"Dataset_1"
610845,9139787.292,16.8,314.5,1,0.607138,"Train",-16.192862,"Dataset_1"
611217,9133011.055,42,314.5,1,8.1563,"Train",-33.8437,"Dataset_1"
611574,9141321.215,14,314.5,1,0.24672,"Train",-13.75328,"Dataset_1"
611991,9151621.43,1.4,314.5,1,0.000159113,"Train",-1.399840887,"Dataset_1"
612110,9121116.642,14,314.5,1,9.04759,"Train",-4.95241,"Dataset_1"
612533,9150050.7,2.8,314.5,1,0.000476793,"Train",-2.799523207,"Dataset_1"
612668,9159396.392,1.4,314.5,1,4.69088e-06,"Train",-1.39999530912,"Dataset_1"
614096,9119345.682,14,314.5,1,6.05647,"Train",-7.94353,"Dataset_1"
622919,9113185.954,14,314.5,1,0.269303,"Train",-13.730697,"Dataset_1"
623586,9115260.451,14,314.5,1,1.26535,"Train",-12.73465,"Dataset_1"
625181,9124003.648,42,314.5,1,43.0765,"Train",1.0765,"Dataset_1"
627188,9109257.98,7,314.5,1,0.003989,"Train",-6.996011,"Dataset_1"
628158,9123335.041,42,314.5,1,49.709,"Train",7.709,"Dataset_1"
628398,9141296.458,14,314.5,1,0.00340986,"Train",-13.99659014,"Dataset_1"
629033,9131696.292,35,314.5,1,6.18845,"Train",-28.81155,"Dataset_1"
629452,9119479.717,14,314.5,1,18.1651,"Train",4.1651,"Dataset_1"
630045,9135164.262,49,314.5,1,0.453836,"Train",-48.546164,"Dataset_1"
630322,9122948.062,84,314.5,1,54.9829,"Train",-29.0171,"Dataset_1"
630400,9117932.035,14,314.5,1,8.10264,"Train",-5.89736,"Dataset_1"
630971,9140026.93,28,314.5,1,0.00358339,"Train",-27.99641661,"Dataset_1"
631505,9115652.839,2.8,314.5,1,1.47599,"Train",-1.32401,"Dataset_1"
632279,9130455.431,84,314.5,1,9.04831,"Train",-74.95169,"Dataset_1"
632377,9119879.829,28,314.5,1,24.9506,"Train",-3.0494,"Dataset_1"
