"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,7.22241,"Train",0.22241,"Dataset_1"
599496,9129733.082,7,314.5,1,10.0911,"Train",3.0911,"Dataset_1"
599783,9159855.018,1.4,314.5,1,0.0042861,"Train",-1.3957139,"Dataset_1"
600480,9153130.672,2.8,314.5,1,0.0288031,"Train",-2.7711969,"Dataset_1"
606322,9127239.31,21,314.5,1,20.7943,"Train",-0.2057,"Dataset_1"
608892,9131373.431,21,314.5,1,19.2985,"Train",-1.7015,"Dataset_1"
608915,9123126.881,14,314.5,1,16.0916,"Train",2.0916,"Dataset_1"
609499,9126559.233,28,314.5,1,28.1097,"Train",0.1097,"Dataset_1"
610624,9129342.239,35,314.5,1,29.1257,"Train",-5.8743,"Dataset_1"
610845,9139787.292,16.8,314.5,1,2.16372,"Train",-14.63628,"Dataset_1"
611217,9133011.055,42,314.5,1,15.8494,"Train",-26.1506,"Dataset_1"
611574,9141321.215,14,314.5,1,1.43228,"Train",-12.56772,"Dataset_1"
611991,9151621.43,1.4,314.5,1,0.0646451,"Train",-1.3353549,"Dataset_1"
612110,9121116.642,14,314.5,1,12.5914,"Train",-1.4086,"Dataset_1"
612533,9150050.7,2.8,314.5,1,0.107893,"Train",-2.692107,"Dataset_1"
612668,9159396.392,1.4,314.5,1,0.00530918,"Train",-1.39469082,"Dataset_1"
614096,9119345.682,14,314.5,1,7.34446,"Train",-6.65554,"Dataset_1"
622919,9113185.954,14,314.5,1,0.105288,"Train",-13.894712,"Dataset_1"
623586,9115260.451,14,314.5,1,0.72979,"Train",-13.27021,"Dataset_1"
625181,9124003.648,42,314.5,1,76.7201,"Train",34.7201,"Dataset_1"
627188,9109257.98,7,314.5,1,0.000438575,"Train",-6.999561425,"Dataset_1"
628158,9123335.041,42,314.5,1,72.0549,"Train",30.0549,"Dataset_1"
628398,9141296.458,14,314.5,1,2.63993,"Train",-11.36007,"Dataset_1"
629033,9131696.292,35,314.5,1,50.5211,"Train",15.5211,"Dataset_1"
629452,9119479.717,14,314.5,1,13.6168,"Train",-0.3832,"Dataset_1"
630045,9135164.262,49,314.5,1,21.2194,"Train",-27.7806,"Dataset_1"
630322,9122948.062,84,314.5,1,64.1695,"Train",-19.8305,"Dataset_1"
630400,9117932.035,14,314.5,1,4.14751,"Train",-9.85249,"Dataset_1"
630971,9140026.93,28,314.5,1,4.16316,"Train",-23.83684,"Dataset_1"
631505,9115652.839,2.8,314.5,1,0.413568,"Train",-2.386432,"Dataset_1"
632279,9130455.431,84,314.5,1,76.0006,"Train",-7.99939999999999,"Dataset_1"
632377,9119879.829,28,314.5,1,13.3773,"Train",-14.6227,"Dataset_1"
632427,9123347.462,56,314.5,1,68.2384,"Train",12.2384,"Dataset_1"
633004,9141759.666,14,314.5,1,2.07992,"Train",-11.92008,"Dataset_1"
633487,9113834.827,2.8,314.5,1,0.0270969,"Train",-2.7729031,"Dataset_1"
633828,9114236.196,7,314.5,1,0.0398388,"Train",-6.9601612,"Dataset_1"
633842,9128466.705,84,314.5,1,108.729,"Train",24.729,"Dataset_1"
633976,9121994.54,56,314.5,1,37.5957,"Train",-18.4043,"Dataset_1"
633989,9137935.861,21,314.5,1,8.7213,"Train",-12.2787,"Dataset_1"
634320,9144480.36,7,314.5,1,0.669552,"Train",-6.330448,"Dataset_1"
634862,9118066.462,28,314.5,1,2.02109,"Train",-25.97891,"Dataset_1"
634952,9118702.01,70,314.5,1,3.52809,"Train",-66.47191,"Dataset_1"
635415,9126044.779,84,314.5,1,117.771,"Train",33.771,"Dataset_1"
635544,9146255.265,7,314.5,1,0.302702,"Train",-6.697298,"Dataset_1"
636257,9119767.038,84,314.5,1,6.72484,"Train",-77.27516,"Dataset_1"
636417,9125246.272,112,314.5,1,109.23,"Train",-2.77,"Dataset_1"
636496,9112916.659,14,314.5,1,0.00183619,"Train",-13.99816381,"Dataset_1"
637324,9123483.541,84,314.5,1,65.8488,"Train",-18.1512,"Dataset_1"
637327,9123468.174,56,314.5,1,65.4258,"Train",9.4258,"Dataset_1"
