"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,9.05814,"Train",2.05814,"Dataset_1"
599496,9129733.082,7,314.5,1,10.5191,"Train",3.5191,"Dataset_1"
599783,9159855.018,1.4,314.5,1,1.95573,"Train",0.55573,"Dataset_1"
600480,9153130.672,2.8,314.5,1,3.35775,"Train",0.55775,"Dataset_1"
606322,9127239.31,21,314.5,1,14.1089,"Train",-6.8911,"Dataset_1"
608892,9131373.431,21,314.5,1,16.7846,"Train",-4.2154,"Dataset_1"
608915,9123126.881,14,314.5,1,13.1403,"Train",-0.8597,"Dataset_1"
609499,9126559.233,28,314.5,1,16.312,"Train",-11.688,"Dataset_1"
610624,9129342.239,35,314.5,1,18.3825,"Train",-16.6175,"Dataset_1"
610845,9139787.292,16.8,314.5,1,12.965,"Train",-3.835,"Dataset_1"
611217,9133011.055,42,314.5,1,18.2755,"Train",-23.7245,"Dataset_1"
611574,9141321.215,14,314.5,1,11.9499,"Train",-2.0501,"Dataset_1"
611991,9151621.43,1.4,314.5,1,4.99769,"Train",3.59769,"Dataset_1"
612110,9121116.642,14,314.5,1,13.13,"Train",-0.869999999999999,"Dataset_1"
612533,9150050.7,2.8,314.5,1,5.84806,"Train",3.04806,"Dataset_1"
612668,9159396.392,1.4,314.5,1,2.4965,"Train",1.0965,"Dataset_1"
614096,9119345.682,14,314.5,1,11.9804,"Train",-2.0196,"Dataset_1"
622919,9113185.954,14,314.5,1,5.75457,"Train",-8.24543,"Dataset_1"
623586,9115260.451,14,314.5,1,9.53373,"Train",-4.46627,"Dataset_1"
625181,9124003.648,42,314.5,1,37.7198,"Train",-4.2802,"Dataset_1"
627188,9109257.98,7,314.5,1,1.96495,"Train",-5.03505,"Dataset_1"
628158,9123335.041,42,314.5,1,44.9019,"Train",2.9019,"Dataset_1"
628398,9141296.458,14,314.5,1,21.0593,"Train",7.0593,"Dataset_1"
629033,9131696.292,35,314.5,1,50.0797,"Train",15.0797,"Dataset_1"
629452,9119479.717,14,314.5,1,30.2775,"Train",16.2775,"Dataset_1"
630045,9135164.262,49,314.5,1,40.8177,"Train",-8.1823,"Dataset_1"
630322,9122948.062,84,314.5,1,51.6206,"Train",-32.3794,"Dataset_1"
630400,9117932.035,14,314.5,1,23.8467,"Train",9.8467,"Dataset_1"
630971,9140026.93,28,314.5,1,26.0272,"Train",-1.9728,"Dataset_1"
631505,9115652.839,2.8,314.5,1,14.4833,"Train",11.6833,"Dataset_1"
632279,9130455.431,84,314.5,1,66.453,"Train",-17.547,"Dataset_1"
632377,9119879.829,28,314.5,1,39.9967,"Train",11.9967,"Dataset_1"
