"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,10.79,"Train",3.79,"Dataset_1"
599496,9129733.082,7,314.5,1,12.3575,"Train",5.3575,"Dataset_1"
599783,9159855.018,1.4,314.5,1,2.33973,"Train",0.93973,"Dataset_1"
600480,9153130.672,2.8,314.5,1,4.38118,"Train",1.58118,"Dataset_1"
606322,9127239.31,21,314.5,1,16.1392,"Train",-4.8608,"Dataset_1"
608892,9131373.431,21,314.5,1,19.7103,"Train",-1.2897,"Dataset_1"
608915,9123126.881,14,314.5,1,14.6766,"Train",0.676600000000001,"Dataset_1"
609499,9126559.233,28,314.5,1,18.6175,"Train",-9.3825,"Dataset_1"
610624,9129342.239,35,314.5,1,21.3034,"Train",-13.6966,"Dataset_1"
610845,9139787.292,16.8,314.5,1,15.5447,"Train",-1.2553,"Dataset_1"
611217,9133011.055,42,314.5,1,21.4998,"Train",-20.5002,"Dataset_1"
611574,9141321.215,14,314.5,1,14.2314,"Train",0.231400000000001,"Dataset_1"
611991,9151621.43,1.4,314.5,1,5.70365,"Train",4.30365,"Dataset_1"
612110,9121116.642,14,314.5,1,14.6442,"Train",0.6442,"Dataset_1"
612533,9150050.7,2.8,314.5,1,6.68296,"Train",3.88296,"Dataset_1"
612668,9159396.392,1.4,314.5,1,2.59537,"Train",1.19537,"Dataset_1"
614096,9119345.682,14,314.5,1,13.3589,"Train",-0.6411,"Dataset_1"
622919,9113185.954,14,314.5,1,6.57381,"Train",-7.42619,"Dataset_1"
623586,9115260.451,14,314.5,1,10.9472,"Train",-3.0528,"Dataset_1"
625181,9124003.648,42,314.5,1,42.735,"Train",0.734999999999999,"Dataset_1"
627188,9109257.98,7,314.5,1,2.22947,"Train",-4.77053,"Dataset_1"
628158,9123335.041,42,314.5,1,50.539,"Train",8.539,"Dataset_1"
628398,9141296.458,14,314.5,1,18.4291,"Train",4.4291,"Dataset_1"
629033,9131696.292,35,314.5,1,50.4154,"Train",15.4154,"Dataset_1"
629452,9119479.717,14,314.5,1,34.6685,"Train",20.6685,"Dataset_1"
