"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,8.01875,"Train",1.01875,"Dataset_1"
599496,9129733.082,7,314.5,1,9.91202,"Train",2.91202,"Dataset_1"
599783,9159855.018,1.4,314.5,1,1.26719,"Train",-0.13281,"Dataset_1"
600480,9153130.672,2.8,314.5,1,2.4972,"Train",-0.3028,"Dataset_1"
606322,9127239.31,21,314.5,1,15.4849,"Train",-5.5151,"Dataset_1"
608892,9131373.431,21,314.5,1,19.6346,"Train",-1.3654,"Dataset_1"
608915,9123126.881,14,314.5,1,14.3724,"Train",0.372400000000001,"Dataset_1"
609499,9126559.233,28,314.5,1,19.4384,"Train",-8.5616,"Dataset_1"
610624,9129342.239,35,314.5,1,22.8567,"Train",-12.1433,"Dataset_1"
610845,9139787.292,16.8,314.5,1,12.8185,"Train",-3.9815,"Dataset_1"
611217,9133011.055,42,314.5,1,21.9607,"Train",-20.0393,"Dataset_1"
611574,9141321.215,14,314.5,1,11.2715,"Train",-2.7285,"Dataset_1"
611991,9151621.43,1.4,314.5,1,3.51111,"Train",2.11111,"Dataset_1"
612110,9121116.642,14,314.5,1,14.4938,"Train",0.4938,"Dataset_1"
612533,9150050.7,2.8,314.5,1,4.24367,"Train",1.44367,"Dataset_1"
612668,9159396.392,1.4,314.5,1,1.44803,"Train",0.04803,"Dataset_1"
614096,9119345.682,14,314.5,1,12.6184,"Train",-1.3816,"Dataset_1"
622919,9113185.954,14,314.5,1,4.46881,"Train",-9.53119,"Dataset_1"
623586,9115260.451,14,314.5,1,8.51054,"Train",-5.48946,"Dataset_1"
625181,9124003.648,42,314.5,1,57.0771,"Train",15.0771,"Dataset_1"
627188,9109257.98,7,314.5,1,1.64396,"Train",-5.35604,"Dataset_1"
628158,9123335.041,42,314.5,1,58.9774,"Train",16.9774,"Dataset_1"
628398,9141296.458,14,314.5,1,17.8267,"Train",3.8267,"Dataset_1"
629033,9131696.292,35,314.5,1,74.1878,"Train",39.1878,"Dataset_1"
629452,9119479.717,14,314.5,1,31.534,"Train",17.534,"Dataset_1"
630045,9135164.262,49,314.5,1,51.5393,"Train",2.5393,"Dataset_1"
630322,9122948.062,84,314.5,1,59.7927,"Train",-24.2073,"Dataset_1"
630400,9117932.035,14,314.5,1,23.3813,"Train",9.3813,"Dataset_1"
630971,9140026.93,28,314.5,1,23.2409,"Train",-4.7591,"Dataset_1"
631505,9115652.839,2.8,314.5,1,14.1867,"Train",11.3867,"Dataset_1"
632279,9130455.431,84,314.5,1,90.952,"Train",6.952,"Dataset_1"
632377,9119879.829,28,314.5,1,38.3569,"Train",10.3569,"Dataset_1"
632427,9123347.462,56,314.5,1,67.5515,"Train",11.5515,"Dataset_1"
633004,9141759.666,14,314.5,1,17.1072,"Train",3.1072,"Dataset_1"
633487,9113834.827,2.8,314.5,1,9.50602,"Train",6.70602,"Dataset_1"
633828,9114236.196,7,314.5,1,10.8039,"Train",3.8039,"Dataset_1"
633842,9128466.705,84,314.5,1,100.531,"Train",16.531,"Dataset_1"
633976,9121994.54,56,314.5,1,58.9958,"Train",2.9958,"Dataset_1"
633989,9137935.861,21,314.5,1,35.6153,"Train",14.6153,"Dataset_1"
634320,9144480.36,7,314.5,1,10.1804,"Train",3.1804,"Dataset_1"
634862,9118066.462,28,314.5,1,29.455,"Train",1.455,"Dataset_1"
634952,9118702.01,70,314.5,1,33.8675,"Train",-36.1325,"Dataset_1"
635415,9126044.779,84,314.5,1,97.2696,"Train",13.2696,"Dataset_1"
635544,9146255.265,7,314.5,1,7.21928,"Train",0.21928,"Dataset_1"
636257,9119767.038,84,314.5,1,44.141,"Train",-39.859,"Dataset_1"
636417,9125246.272,112,314.5,1,94.6861,"Train",-17.3139,"Dataset_1"
636496,9112916.659,14,314.5,1,7.87803,"Train",-6.12197,"Dataset_1"
637324,9123483.541,84,314.5,1,81.6404,"Train",-2.3596,"Dataset_1"
637327,9123468.174,56,314.5,1,81.4996,"Train",25.4996,"Dataset_1"
638642,9143352.802,14,314.5,1,11.7078,"Train",-2.2922,"Dataset_1"
639389,9132701.354,112,314.5,1,85.737,"Train",-26.263,"Dataset_1"
639846,9149492.409,2.8,314.5,1,3.63908,"Train",0.83908,"Dataset_1"
641953,9123024.034,168,314.5,1,82.7149,"Train",-85.2851,"Dataset_1"
642104,9131055.914,112,314.5,1,98.1669,"Train",-13.8331,"Dataset_1"
642451,9136494.715,7,314.5,1,43.2251,"Train",36.2251,"Dataset_1"
642882,9113422.194,14,314.5,1,8.2892,"Train",-5.7108,"Dataset_1"
643431,9150372.425,2.8,314.5,1,2.72031,"Train",-0.0796899999999998,"Dataset_1"
643470,9131143.84,84,314.5,1,92.8195,"Train",8.81950000000001,"Dataset_1"
644200,9134501.961,21,314.5,1,57.7201,"Train",36.7201,"Dataset_1"
645934,9145238.163,7,314.5,1,5.95522,"Train",-1.04478,"Dataset_1"
650322,9128471.143,105,314.5,1,46.6819,"Train",-58.3181,"Dataset_1"
650341,9128483.37,84,314.5,1,46.5065,"Train",-37.4935,"Dataset_1"
651164,9132839.477,84,314.5,1,32.8383,"Train",-51.1617,"Dataset_1"
651300,9132255.402,63,314.5,1,33.6265,"Train",-29.3735,"Dataset_1"
624103,9111696.128,7,314.5,0,3.01187,"Test",-3.98813,"Dataset_1"
629936,9122930.73,56,314.5,0,58.9424,"Test",2.9424,"Dataset_1"
629549,9142131.799,28,314.5,0,15.6512,"Test",-12.3488,"Dataset_1"
606002,9134454.513,35,314.5,0,14.5643,"Test",-20.4357,"Dataset_1"
623903,9139886.513,28,314.5,0,20.1991,"Test",-7.8009,"Dataset_1"
626002,9116568.401,14,314.5,0,13.7156,"Test",-0.2844,"Dataset_1"
648254,9143394.028,14,314.5,0,7.33183,"Test",-6.66817,"Dataset_1"
635545,9123596.347,70,314.5,0,77.8603,"Test",7.8603,"Dataset_1"
604054,9159569.497,1.4,314.5,0,1.36428,"Test",-0.03572,"Dataset_1"
634336,9120657.35,42,314.5,0,48.0298,"Test",6.0298,"Dataset_1"
637194,9125075.016,112,314.5,0,95.5638,"Test",-16.4362,"Dataset_1"
606831,9143436.125,21,314.5,0,7.71211,"Test",-13.28789,"Dataset_1"
620935,9118808.97,14,314.5,0,18.3537,"Test",4.3537,"Dataset_1"
644675,9139335.273,7,314.5,0,21.6746,"Test",14.6746,"Dataset_1"
617445,9135784.492,28,314.5,0,26.3211,"Test",-1.6789,"Dataset_1"
625423,9127624.25,42,314.5,0,72.5632,"Test",30.5632,"Dataset_1"
