"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,8.23404,"Train",1.23404,"Dataset_1"
599496,9129733.082,7,314.5,1,10.4088,"Train",3.4088,"Dataset_1"
599783,9159855.018,1.4,314.5,1,0.0831693,"Train",-1.3168307,"Dataset_1"
600480,9153130.672,2.8,314.5,1,0.289064,"Train",-2.510936,"Dataset_1"
606322,9127239.31,21,314.5,1,17.1785,"Train",-3.8215,"Dataset_1"
608892,9131373.431,21,314.5,1,18.165,"Train",-2.835,"Dataset_1"
608915,9123126.881,14,314.5,1,14.6124,"Train",0.612399999999999,"Dataset_1"
609499,9126559.233,28,314.5,1,21.4901,"Train",-6.5099,"Dataset_1"
610624,9129342.239,35,314.5,1,23.2815,"Train",-11.7185,"Dataset_1"
610845,9139787.292,16.8,314.5,1,5.17862,"Train",-11.62138,"Dataset_1"
611217,9133011.055,42,314.5,1,17.2551,"Train",-24.7449,"Dataset_1"
611574,9141321.215,14,314.5,1,3.93665,"Train",-10.06335,"Dataset_1"
611991,9151621.43,1.4,314.5,1,0.527434,"Train",-0.872566,"Dataset_1"
612110,9121116.642,14,314.5,1,12.9432,"Train",-1.0568,"Dataset_1"
612533,9150050.7,2.8,314.5,1,0.732451,"Train",-2.067549,"Dataset_1"
612668,9159396.392,1.4,314.5,1,0.107465,"Train",-1.292535,"Dataset_1"
614096,9119345.682,14,314.5,1,9.43549,"Train",-4.56451,"Dataset_1"
622919,9113185.954,14,314.5,1,0.733088,"Train",-13.266912,"Dataset_1"
623586,9115260.451,14,314.5,1,2.54401,"Train",-11.45599,"Dataset_1"
625181,9124003.648,42,314.5,1,54.9371,"Train",12.9371,"Dataset_1"
627188,9109257.98,7,314.5,1,0.0236842,"Train",-6.9763158,"Dataset_1"
628158,9123335.041,42,314.5,1,58.3819,"Train",16.3819,"Dataset_1"
628398,9141296.458,14,314.5,1,6.59056,"Train",-7.40944,"Dataset_1"
629033,9131696.292,35,314.5,1,48.1827,"Train",13.1827,"Dataset_1"
629452,9119479.717,14,314.5,1,20.2369,"Train",6.2369,"Dataset_1"
630045,9135164.262,49,314.5,1,26.4799,"Train",-22.5201,"Dataset_1"
630322,9122948.062,84,314.5,1,59.4329,"Train",-24.5671,"Dataset_1"
630400,9117932.035,14,314.5,1,9.67102,"Train",-4.32898,"Dataset_1"
630971,9140026.93,28,314.5,1,9.15099,"Train",-18.84901,"Dataset_1"
631505,9115652.839,2.8,314.5,1,2.24762,"Train",-0.55238,"Dataset_1"
632279,9130455.431,84,314.5,1,67.6332,"Train",-16.3668,"Dataset_1"
632377,9119879.829,28,314.5,1,23.4004,"Train",-4.5996,"Dataset_1"
632427,9123347.462,56,314.5,1,68.8932,"Train",12.8932,"Dataset_1"
633004,9141759.666,14,314.5,1,6.00914,"Train",-7.99086,"Dataset_1"
633487,9113834.827,2.8,314.5,1,0.418191,"Train",-2.381809,"Dataset_1"
633828,9114236.196,7,314.5,1,0.551431,"Train",-6.448569,"Dataset_1"
633842,9128466.705,84,314.5,1,92.2941,"Train",8.2941,"Dataset_1"
633976,9121994.54,56,314.5,1,50.8858,"Train",-5.1142,"Dataset_1"
633989,9137935.861,21,314.5,1,15.5135,"Train",-5.4865,"Dataset_1"
634320,9144480.36,7,314.5,1,2.94552,"Train",-4.05448,"Dataset_1"
634862,9118066.462,28,314.5,1,7.99309,"Train",-20.00691,"Dataset_1"
634952,9118702.01,70,314.5,1,11.6097,"Train",-58.3903,"Dataset_1"
635415,9126044.779,84,314.5,1,107.58,"Train",23.58,"Dataset_1"
635544,9146255.265,7,314.5,1,1.79793,"Train",-5.20207,"Dataset_1"
636257,9119767.038,84,314.5,1,19.4655,"Train",-64.5345,"Dataset_1"
636417,9125246.272,112,314.5,1,107.852,"Train",-4.148,"Dataset_1"
636496,9112916.659,14,314.5,1,0.0908272,"Train",-13.9091728,"Dataset_1"
637324,9123483.541,84,314.5,1,84.1268,"Train",0.126800000000003,"Dataset_1"
637327,9123468.174,56,314.5,1,83.8223,"Train",27.8223,"Dataset_1"
638642,9143352.802,14,314.5,1,3.48635,"Train",-10.51365,"Dataset_1"
639389,9132701.354,112,314.5,1,57.7338,"Train",-54.2662,"Dataset_1"
639846,9149492.409,2.8,314.5,1,0.640831,"Train",-2.159169,"Dataset_1"
641953,9123024.034,168,314.5,1,113.674,"Train",-54.326,"Dataset_1"
642104,9131055.914,112,314.5,1,88.4909,"Train",-23.5091,"Dataset_1"
642451,9136494.715,7,314.5,1,20.4712,"Train",13.4712,"Dataset_1"
642882,9113422.194,14,314.5,1,0.0418336,"Train",-13.9581664,"Dataset_1"
643431,9150372.425,2.8,314.5,1,0.421207,"Train",-2.378793,"Dataset_1"
643470,9131143.84,84,314.5,1,86.1489,"Train",2.1489,"Dataset_1"
644200,9134501.961,21,314.5,1,33.7114,"Train",12.7114,"Dataset_1"
645934,9145238.163,7,314.5,1,1.45881,"Train",-5.54119,"Dataset_1"
650322,9128471.143,105,314.5,1,39.6983,"Train",-65.3017,"Dataset_1"
650341,9128483.37,84,314.5,1,39.3689,"Train",-44.6311,"Dataset_1"
651164,9132839.477,84,314.5,1,17.367,"Train",-66.633,"Dataset_1"
651300,9132255.402,63,314.5,1,18.3396,"Train",-44.6604,"Dataset_1"
668317.7975,9196820.953,0.7,314.5,1,0.000380312,"Train",-0.699619688,"Dataset_2"
652621.9744,9195139.467,0.7,314.5,1,0.000500314,"Train",-0.699499686,"Dataset_2"
637425.4904,9193204.557,0.7,314.5,1,0.000655064,"Train",-0.699344936,"Dataset_2"
632441.8997,9191981.208,0.7,314.5,1,0.000730572,"Train",-0.699269428,"Dataset_2"
631924.7601,9184809.431,0.7,314.5,1,0.00100398,"Train",-0.69899602,"Dataset_2"
632655.6349,9178871.831,0.7,314.5,1,0.00177978,"Train",-0.69822022,"Dataset_2"
626355.6932,9104570.93,0.7,314.5,1,0.000460646,"Train",-0.699539354,"Dataset_2"
622808.2592,9102482.121,0.7,314.5,1,0.000238264,"Train",-0.699761736,"Dataset_2"
620884.5247,9103351.508,0.7,314.5,1,0.000468226,"Train",-0.699531774,"Dataset_2"
618897.9326,9103974.083,0.7,314.5,1,0.000927315,"Train",-0.699072685,"Dataset_2"
651142.6529,9121319.544,0.7,314.5,1,4.48636,"Train",3.78636,"Dataset_2"
648149.196,9118365.203,7,314.5,1,2.26116,"Train",-4.73884,"Dataset_2"
624478.3225,9099792.562,1.4e-06,314.5,1,0.000131828,"Train",0.000130428,"Dataset_2"
644260.7247,9107510.933,1.4e-06,314.5,1,0.000168382,"Train",0.000166982,"Dataset_2"
646012.7376,9111209.589,1.4e-06,314.5,1,0.00210065,"Train",0.00209925,"Dataset_2"
647523.2046,9117008.734,1.4,314.5,1,0.767878,"Train",-0.632122,"Dataset_2"
677235.2876,9116779.052,1.4e-06,314.5,1,8.91445e-05,"Train",8.77445e-05,"Dataset_2"
662614.6427,9130791.934,1.4,314.5,1,0.0912443,"Train",-1.3087557,"Dataset_2"
657522.2071,9169987.86,6,314.5,1,0.00538182,"Train",-5.99461818,"Dataset_2"
634367.0106,9167585.163,4.2,314.5,1,0.0112782,"Train",-4.1887218,"Dataset_2"
