"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,9.58236,"Train",2.58236,"Dataset_1"
599496,9129733.082,7,314.5,1,11.9625,"Train",4.9625,"Dataset_1"
599783,9159855.018,1.4,314.5,1,0.983291,"Train",-0.416709,"Dataset_1"
600480,9153130.672,2.8,314.5,1,1.76184,"Train",-1.03816,"Dataset_1"
606322,9127239.31,21,314.5,1,17.659,"Train",-3.341,"Dataset_1"
608892,9131373.431,21,314.5,1,20.0807,"Train",-0.9193,"Dataset_1"
608915,9123126.881,14,314.5,1,15.5026,"Train",1.5026,"Dataset_1"
609499,9126559.233,28,314.5,1,20.6955,"Train",-7.3045,"Dataset_1"
610624,9129342.239,35,314.5,1,23.0705,"Train",-11.9295,"Dataset_1"
610845,9139787.292,16.8,314.5,1,10.4032,"Train",-6.3968,"Dataset_1"
611217,9133011.055,42,314.5,1,20.6912,"Train",-21.3088,"Dataset_1"
611574,9141321.215,14,314.5,1,8.78285,"Train",-5.21715,"Dataset_1"
611991,9151621.43,1.4,314.5,1,2.41341,"Train",1.01341,"Dataset_1"
612110,9121116.642,14,314.5,1,14.2641,"Train",0.264099999999999,"Dataset_1"
612533,9150050.7,2.8,314.5,1,2.92178,"Train",0.12178,"Dataset_1"
612668,9159396.392,1.4,314.5,1,1.12013,"Train",-0.27987,"Dataset_1"
614096,9119345.682,14,314.5,1,11.5853,"Train",-2.4147,"Dataset_1"
622919,9113185.954,14,314.5,1,2.36239,"Train",-11.63761,"Dataset_1"
623586,9115260.451,14,314.5,1,5.18976,"Train",-8.81024,"Dataset_1"
625181,9124003.648,42,314.5,1,42.9792,"Train",0.979199999999999,"Dataset_1"
627188,9109257.98,7,314.5,1,0.337936,"Train",-6.662064,"Dataset_1"
628158,9123335.041,42,314.5,1,47.161,"Train",5.161,"Dataset_1"
628398,9141296.458,14,314.5,1,15.134,"Train",1.134,"Dataset_1"
629033,9131696.292,35,314.5,1,52.7733,"Train",17.7733,"Dataset_1"
629452,9119479.717,14,314.5,1,22.801,"Train",8.801,"Dataset_1"
630045,9135164.262,49,314.5,1,38.0434,"Train",-10.9566,"Dataset_1"
630322,9122948.062,84,314.5,1,50.4402,"Train",-33.5598,"Dataset_1"
630400,9117932.035,14,314.5,1,14.2788,"Train",0.2788,"Dataset_1"
630971,9140026.93,28,314.5,1,19.6021,"Train",-8.3979,"Dataset_1"
631505,9115652.839,2.8,314.5,1,5.7139,"Train",2.9139,"Dataset_1"
632279,9130455.431,84,314.5,1,69.3936,"Train",-14.6064,"Dataset_1"
632377,9119879.829,28,314.5,1,28.0312,"Train",0.0311999999999983,"Dataset_1"
632427,9123347.462,56,314.5,1,60.4645,"Train",4.4645,"Dataset_1"
633004,9141759.666,14,314.5,1,15.3818,"Train",1.3818,"Dataset_1"
633487,9113834.827,2.8,314.5,1,2.16362,"Train",-0.63638,"Dataset_1"
