"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,5.97588,"Train",-1.02412,"Dataset_1"
599496,9129733.082,7,314.5,1,7.86682,"Train",0.86682,"Dataset_1"
599783,9159855.018,1.4,314.5,1,0.237,"Train",-1.163,"Dataset_1"
600480,9153130.672,2.8,314.5,1,0.826258,"Train",-1.973742,"Dataset_1"
606322,9127239.31,21,314.5,1,13.7236,"Train",-7.2764,"Dataset_1"
608892,9131373.431,21,314.5,1,16.4502,"Train",-4.5498,"Dataset_1"
608915,9123126.881,14,314.5,1,14.1101,"Train",0.110099999999999,"Dataset_1"
609499,9126559.233,28,314.5,1,17.369,"Train",-10.631,"Dataset_1"
610624,9129342.239,35,314.5,1,19.4284,"Train",-15.5716,"Dataset_1"
610845,9139787.292,16.8,314.5,1,10.2111,"Train",-6.5889,"Dataset_1"
611217,9133011.055,42,314.5,1,18.2768,"Train",-23.7232,"Dataset_1"
611574,9141321.215,14,314.5,1,8.87464,"Train",-5.12536,"Dataset_1"
611991,9151621.43,1.4,314.5,1,1.77972,"Train",0.37972,"Dataset_1"
612110,9121116.642,14,314.5,1,15.0957,"Train",1.0957,"Dataset_1"
612533,9150050.7,2.8,314.5,1,2.41554,"Train",-0.38446,"Dataset_1"
612668,9159396.392,1.4,314.5,1,0.39641,"Train",-1.00359,"Dataset_1"
614096,9119345.682,14,314.5,1,14.127,"Train",0.127000000000001,"Dataset_1"
622919,9113185.954,14,314.5,1,6.55227,"Train",-7.44773,"Dataset_1"
623586,9115260.451,14,314.5,1,10.7583,"Train",-3.2417,"Dataset_1"
625181,9124003.648,42,314.5,1,42.1426,"Train",0.142600000000002,"Dataset_1"
627188,9109257.98,7,314.5,1,2.07879,"Train",-4.92121,"Dataset_1"
628158,9123335.041,42,314.5,1,46.4517,"Train",4.4517,"Dataset_1"
628398,9141296.458,14,314.5,1,19.4471,"Train",5.4471,"Dataset_1"
629033,9131696.292,35,314.5,1,57.7342,"Train",22.7342,"Dataset_1"
629452,9119479.717,14,314.5,1,29.3939,"Train",15.3939,"Dataset_1"
630045,9135164.262,49,314.5,1,46.7774,"Train",-2.2226,"Dataset_1"
630322,9122948.062,84,314.5,1,50.0429,"Train",-33.9571,"Dataset_1"
630400,9117932.035,14,314.5,1,22.6162,"Train",8.6162,"Dataset_1"
630971,9140026.93,28,314.5,1,25.8974,"Train",-2.1026,"Dataset_1"
631505,9115652.839,2.8,314.5,1,13.6666,"Train",10.8666,"Dataset_1"
632279,9130455.431,84,314.5,1,73.4949,"Train",-10.5051,"Dataset_1"
632377,9119879.829,28,314.5,1,35.7625,"Train",7.7625,"Dataset_1"
632427,9123347.462,56,314.5,1,58.9177,"Train",2.9177,"Dataset_1"
633004,9141759.666,14,314.5,1,20.5563,"Train",6.5563,"Dataset_1"
633487,9113834.827,2.8,314.5,1,8.43015,"Train",5.63015,"Dataset_1"
633828,9114236.196,7,314.5,1,9.56341,"Train",2.56341,"Dataset_1"
633842,9128466.705,84,314.5,1,84.2934,"Train",0.293400000000005,"Dataset_1"
633976,9121994.54,56,314.5,1,54.8935,"Train",-1.1065,"Dataset_1"
633989,9137935.861,21,314.5,1,39.2631,"Train",18.2631,"Dataset_1"
634320,9144480.36,7,314.5,1,12.5705,"Train",5.5705,"Dataset_1"
634862,9118066.462,28,314.5,1,27.6305,"Train",-0.369499999999999,"Dataset_1"
634952,9118702.01,70,314.5,1,32.0538,"Train",-37.9462,"Dataset_1"
635415,9126044.779,84,314.5,1,89.1288,"Train",5.1288,"Dataset_1"
635544,9146255.265,7,314.5,1,8.75578,"Train",1.75578,"Dataset_1"
636257,9119767.038,84,314.5,1,43.1944,"Train",-40.8056,"Dataset_1"
636417,9125246.272,112,314.5,1,91.7874,"Train",-20.2126,"Dataset_1"
636496,9112916.659,14,314.5,1,6.43251,"Train",-7.56749,"Dataset_1"
637324,9123483.541,84,314.5,1,84.1668,"Train",0.166799999999995,"Dataset_1"
637327,9123468.174,56,314.5,1,84.041,"Train",28.041,"Dataset_1"
638642,9143352.802,14,314.5,1,15.913,"Train",1.913,"Dataset_1"
639389,9132701.354,112,314.5,1,93.3508,"Train",-18.6492,"Dataset_1"
639846,9149492.409,2.8,314.5,1,3.92928,"Train",1.12928,"Dataset_1"
641953,9123024.034,168,314.5,1,110.75,"Train",-57.25,"Dataset_1"
642104,9131055.914,112,314.5,1,119.71,"Train",7.70999999999999,"Dataset_1"
642451,9136494.715,7,314.5,1,57.7471,"Train",50.7471,"Dataset_1"
642882,9113422.194,14,314.5,1,7.79696,"Train",-6.20304,"Dataset_1"
643431,9150372.425,2.8,314.5,1,2.72365,"Train",-0.0763499999999997,"Dataset_1"
643470,9131143.84,84,314.5,1,120.387,"Train",36.387,"Dataset_1"
644200,9134501.961,21,314.5,1,77.5549,"Train",56.5549,"Dataset_1"
645934,9145238.163,7,314.5,1,8.07671,"Train",1.07671,"Dataset_1"
650322,9128471.143,105,314.5,1,84.1495,"Train",-20.8505,"Dataset_1"
650341,9128483.37,84,314.5,1,83.8414,"Train",-0.158600000000007,"Dataset_1"
