"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,7.67579,"Train",0.67579,"Dataset_1"
599496,9129733.082,7,314.5,1,9.66957,"Train",2.66957,"Dataset_1"
599783,9159855.018,1.4,314.5,1,1.05626,"Train",-0.34374,"Dataset_1"
600480,9153130.672,2.8,314.5,1,1.91091,"Train",-0.88909,"Dataset_1"
606322,9127239.31,21,314.5,1,15.495,"Train",-5.505,"Dataset_1"
608892,9131373.431,21,314.5,1,17.3374,"Train",-3.6626,"Dataset_1"
608915,9123126.881,14,314.5,1,14.2037,"Train",0.2037,"Dataset_1"
609499,9126559.233,28,314.5,1,18.6026,"Train",-9.3974,"Dataset_1"
610624,9129342.239,35,314.5,1,20.3694,"Train",-14.6306,"Dataset_1"
610845,9139787.292,16.8,314.5,1,8.59597,"Train",-8.20403,"Dataset_1"
611217,9133011.055,42,314.5,1,17.6739,"Train",-24.3261,"Dataset_1"
611574,9141321.215,14,314.5,1,7.27486,"Train",-6.72514,"Dataset_1"
611991,9151621.43,1.4,314.5,1,2.41721,"Train",1.01721,"Dataset_1"
612110,9121116.642,14,314.5,1,13.2685,"Train",-0.7315,"Dataset_1"
612533,9150050.7,2.8,314.5,1,2.82234,"Train",0.0223400000000002,"Dataset_1"
612668,9159396.392,1.4,314.5,1,1.19064,"Train",-0.20936,"Dataset_1"
614096,9119345.682,14,314.5,1,10.8205,"Train",-3.1795,"Dataset_1"
622919,9113185.954,14,314.5,1,2.17689,"Train",-11.82311,"Dataset_1"
623586,9115260.451,14,314.5,1,4.80535,"Train",-9.19465,"Dataset_1"
625181,9124003.648,42,314.5,1,40.0155,"Train",-1.9845,"Dataset_1"
627188,9109257.98,7,314.5,1,0.320563,"Train",-6.679437,"Dataset_1"
628158,9123335.041,42,314.5,1,44.951,"Train",2.951,"Dataset_1"
628398,9141296.458,14,314.5,1,11.2524,"Train",-2.7476,"Dataset_1"
629033,9131696.292,35,314.5,1,42.8655,"Train",7.8655,"Dataset_1"
629452,9119479.717,14,314.5,1,22.3042,"Train",8.3042,"Dataset_1"
630045,9135164.262,49,314.5,1,28.9495,"Train",-20.0505,"Dataset_1"
630322,9122948.062,84,314.5,1,49.1032,"Train",-34.8968,"Dataset_1"
630400,9117932.035,14,314.5,1,13.9592,"Train",-0.0408000000000008,"Dataset_1"
630971,9140026.93,28,314.5,1,14.4028,"Train",-13.5972,"Dataset_1"
631505,9115652.839,2.8,314.5,1,5.46952,"Train",2.66952,"Dataset_1"
632279,9130455.431,84,314.5,1,57.1648,"Train",-26.8352,"Dataset_1"
632377,9119879.829,28,314.5,1,28.1495,"Train",0.1495,"Dataset_1"
632427,9123347.462,56,314.5,1,59.4937,"Train",3.4937,"Dataset_1"
633004,9141759.666,14,314.5,1,11.2679,"Train",-2.7321,"Dataset_1"
633487,9113834.827,2.8,314.5,1,2.00564,"Train",-0.79436,"Dataset_1"
633828,9114236.196,7,314.5,1,2.43922,"Train",-4.56078,"Dataset_1"
633842,9128466.705,84,314.5,1,74.3331,"Train",-9.6669,"Dataset_1"
633976,9121994.54,56,314.5,1,52.0402,"Train",-3.9598,"Dataset_1"
633989,9137935.861,21,314.5,1,21.2634,"Train",0.263400000000001,"Dataset_1"
634320,9144480.36,7,314.5,1,7.30149,"Train",0.30149,"Dataset_1"
634862,9118066.462,28,314.5,1,15.4379,"Train",-12.5621,"Dataset_1"
634952,9118702.01,70,314.5,1,20.0142,"Train",-49.9858,"Dataset_1"
635415,9126044.779,84,314.5,1,89.0285,"Train",5.02849999999999,"Dataset_1"
635544,9146255.265,7,314.5,1,5.50042,"Train",-1.49958,"Dataset_1"
636257,9119767.038,84,314.5,1,30.524,"Train",-53.476,"Dataset_1"
636417,9125246.272,112,314.5,1,93.272,"Train",-18.728,"Dataset_1"
636496,9112916.659,14,314.5,1,0.922472,"Train",-13.077528,"Dataset_1"
637324,9123483.541,84,314.5,1,83.6495,"Train",-0.350499999999997,"Dataset_1"
637327,9123468.174,56,314.5,1,83.4727,"Train",27.4727,"Dataset_1"
638642,9143352.802,14,314.5,1,8.79585,"Train",-5.20415,"Dataset_1"
639389,9132701.354,112,314.5,1,56.6318,"Train",-55.3682,"Dataset_1"
639846,9149492.409,2.8,314.5,1,3.25993,"Train",0.45993,"Dataset_1"
641953,9123024.034,168,314.5,1,112.497,"Train",-55.503,"Dataset_1"
642104,9131055.914,112,314.5,1,79.3234,"Train",-32.6766,"Dataset_1"
642451,9136494.715,7,314.5,1,29.4804,"Train",22.4804,"Dataset_1"
642882,9113422.194,14,314.5,1,0.681784,"Train",-13.318216,"Dataset_1"
643431,9150372.425,2.8,314.5,1,2.72361,"Train",-0.07639,"Dataset_1"
643470,9131143.84,84,314.5,1,77.7386,"Train",-6.26139999999999,"Dataset_1"
644200,9134501.961,21,314.5,1,41.2102,"Train",20.2102,"Dataset_1"
645934,9145238.163,7,314.5,1,5.78076,"Train",-1.21924,"Dataset_1"
650322,9128471.143,105,314.5,1,42.5401,"Train",-62.4599,"Dataset_1"
650341,9128483.37,84,314.5,1,42.2995,"Train",-41.7005,"Dataset_1"
651164,9132839.477,84,314.5,1,25.4791,"Train",-58.5209,"Dataset_1"
651300,9132255.402,63,314.5,1,26.2023,"Train",-36.7977,"Dataset_1"
624103,9111696.128,7,314.5,0,1.13684,"Test",-5.86316,"Dataset_1"
629936,9122930.73,56,314.5,0,47.7846,"Test",-8.2154,"Dataset_1"
629549,9142131.799,28,314.5,0,10.1215,"Test",-17.8785,"Dataset_1"
606002,9134454.513,35,314.5,0,12.2345,"Test",-22.7655,"Dataset_1"
623903,9139886.513,28,314.5,0,12.3614,"Test",-15.6386,"Dataset_1"
626002,9116568.401,14,314.5,0,7.9206,"Test",-6.0794,"Dataset_1"
648254,9143394.028,14,314.5,0,7.26707,"Test",-6.73293,"Dataset_1"
635545,9123596.347,70,314.5,0,75.4277,"Test",5.4277,"Dataset_1"
604054,9159569.497,1.4,314.5,0,1.11714,"Test",-0.28286,"Dataset_1"
634336,9120657.35,42,314.5,0,38.1396,"Test",-3.8604,"Dataset_1"
637194,9125075.016,112,314.5,0,97.7942,"Test",-14.2058,"Dataset_1"
606831,9143436.125,21,314.5,0,5.10006,"Test",-15.89994,"Dataset_1"
620935,9118808.97,14,314.5,0,13.0697,"Test",-0.930300000000001,"Dataset_1"
644675,9139335.273,7,314.5,0,16.8907,"Test",9.8907,"Dataset_1"
617445,9135784.492,28,314.5,0,17.2926,"Test",-10.7074,"Dataset_1"
625423,9127624.25,42,314.5,0,46.3276,"Test",4.3276,"Dataset_1"
