"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,10.5778,"Train",3.5778,"Dataset_1"
599496,9129733.082,7,314.5,1,12.1411,"Train",5.1411,"Dataset_1"
599783,9159855.018,1.4,314.5,1,2.61835,"Train",1.21835,"Dataset_1"
600480,9153130.672,2.8,314.5,1,4.14909,"Train",1.34909,"Dataset_1"
606322,9127239.31,21,314.5,1,16.1885,"Train",-4.8115,"Dataset_1"
608892,9131373.431,21,314.5,1,18.8366,"Train",-2.1634,"Dataset_1"
608915,9123126.881,14,314.5,1,14.6813,"Train",0.6813,"Dataset_1"
609499,9126559.233,28,314.5,1,18.734,"Train",-9.266,"Dataset_1"
610624,9129342.239,35,314.5,1,20.961,"Train",-14.039,"Dataset_1"
610845,9139787.292,16.8,314.5,1,13.035,"Train",-3.765,"Dataset_1"
611217,9133011.055,42,314.5,1,19.912,"Train",-22.088,"Dataset_1"
611574,9141321.215,14,314.5,1,11.817,"Train",-2.183,"Dataset_1"
611991,9151621.43,1.4,314.5,1,5.36988,"Train",3.96988,"Dataset_1"
612110,9121116.642,14,314.5,1,13.9273,"Train",-0.0726999999999993,"Dataset_1"
612533,9150050.7,2.8,314.5,1,6.09456,"Train",3.29456,"Dataset_1"
612668,9159396.392,1.4,314.5,1,3.04685,"Train",1.64685,"Dataset_1"
614096,9119345.682,14,314.5,1,11.7476,"Train",-2.2524,"Dataset_1"
622919,9113185.954,14,314.5,1,2.73581,"Train",-11.26419,"Dataset_1"
623586,9115260.451,14,314.5,1,5.40051,"Train",-8.59949,"Dataset_1"
625181,9124003.648,42,314.5,1,44.7327,"Train",2.7327,"Dataset_1"
627188,9109257.98,7,314.5,1,0.611482,"Train",-6.388518,"Dataset_1"
628158,9123335.041,42,314.5,1,50.2572,"Train",8.2572,"Dataset_1"
628398,9141296.458,14,314.5,1,16.5699,"Train",2.5699,"Dataset_1"
629033,9131696.292,35,314.5,1,49.8776,"Train",14.8776,"Dataset_1"
629452,9119479.717,14,314.5,1,24.1051,"Train",10.1051,"Dataset_1"
630045,9135164.262,49,314.5,1,34.4703,"Train",-14.5297,"Dataset_1"
630322,9122948.062,84,314.5,1,53.5413,"Train",-30.4587,"Dataset_1"
630400,9117932.035,14,314.5,1,15.4624,"Train",1.4624,"Dataset_1"
630971,9140026.93,28,314.5,1,19.83,"Train",-8.17,"Dataset_1"
631505,9115652.839,2.8,314.5,1,6.81454,"Train",4.01454,"Dataset_1"
632279,9130455.431,84,314.5,1,68.5679,"Train",-15.4321,"Dataset_1"
632377,9119879.829,28,314.5,1,30.6753,"Train",2.6753,"Dataset_1"
632427,9123347.462,56,314.5,1,64.0647,"Train",8.0647,"Dataset_1"
633004,9141759.666,14,314.5,1,16.8577,"Train",2.8577,"Dataset_1"
633487,9113834.827,2.8,314.5,1,3.1945,"Train",0.3945,"Dataset_1"
633828,9114236.196,7,314.5,1,3.83642,"Train",-3.16358,"Dataset_1"
633842,9128466.705,84,314.5,1,88.4113,"Train",4.4113,"Dataset_1"
633976,9121994.54,56,314.5,1,56.1441,"Train",0.144100000000002,"Dataset_1"
633989,9137935.861,21,314.5,1,27.029,"Train",6.029,"Dataset_1"
634320,9144480.36,7,314.5,1,12.7245,"Train",5.7245,"Dataset_1"
634862,9118066.462,28,314.5,1,19.4393,"Train",-8.5607,"Dataset_1"
634952,9118702.01,70,314.5,1,24.4273,"Train",-45.5727,"Dataset_1"
635415,9126044.779,84,314.5,1,101.155,"Train",17.155,"Dataset_1"
635544,9146255.265,7,314.5,1,10.6339,"Train",3.6339,"Dataset_1"
636257,9119767.038,84,314.5,1,37.2431,"Train",-46.7569,"Dataset_1"
636417,9125246.272,112,314.5,1,105.166,"Train",-6.834,"Dataset_1"
636496,9112916.659,14,314.5,1,1.99708,"Train",-12.00292,"Dataset_1"
637324,9123483.541,84,314.5,1,94.5135,"Train",10.5135,"Dataset_1"
637327,9123468.174,56,314.5,1,94.3291,"Train",38.3291,"Dataset_1"
638642,9143352.802,14,314.5,1,14.5925,"Train",0.592499999999999,"Dataset_1"
639389,9132701.354,112,314.5,1,72.5781,"Train",-39.4219,"Dataset_1"
639846,9149492.409,2.8,314.5,1,7.62737,"Train",4.82737,"Dataset_1"
641953,9123024.034,168,314.5,1,129.44,"Train",-38.56,"Dataset_1"
642104,9131055.914,112,314.5,1,104.797,"Train",-7.203,"Dataset_1"
642451,9136494.715,7,314.5,1,38.5126,"Train",31.5126,"Dataset_1"
642882,9113422.194,14,314.5,1,1.79566,"Train",-12.20434,"Dataset_1"
643431,9150372.425,2.8,314.5,1,6.84483,"Train",4.04483,"Dataset_1"
643470,9131143.84,84,314.5,1,105.371,"Train",21.371,"Dataset_1"
644200,9134501.961,21,314.5,1,56.522,"Train",35.522,"Dataset_1"
645934,9145238.163,7,314.5,1,11.585,"Train",4.585,"Dataset_1"
650322,9128471.143,105,314.5,1,62.041,"Train",-42.959,"Dataset_1"
650341,9128483.37,84,314.5,1,61.7506,"Train",-22.2494,"Dataset_1"
651164,9132839.477,84,314.5,1,43.426,"Train",-40.574,"Dataset_1"
651300,9132255.402,63,314.5,1,44.3771,"Train",-18.6229,"Dataset_1"
668317.7975,9196820.953,0.7,314.5,1,0.301401,"Train",-0.398599,"Dataset_2"
652621.9744,9195139.467,0.7,314.5,1,0.369642,"Train",-0.330358,"Dataset_2"
637425.4904,9193204.557,0.7,314.5,1,0.42356,"Train",-0.27644,"Dataset_2"
632441.8997,9191981.208,0.7,314.5,1,0.451177,"Train",-0.248823,"Dataset_2"
631924.7601,9184809.431,0.7,314.5,1,0.616685,"Train",-0.0833149999999999,"Dataset_2"
632655.6349,9178871.831,0.7,314.5,1,0.832278,"Train",0.132278,"Dataset_2"
626355.6932,9104570.93,0.7,314.5,1,0.212414,"Train",-0.487586,"Dataset_2"
622808.2592,9102482.121,0.7,314.5,1,0.177986,"Train",-0.522014,"Dataset_2"
620884.5247,9103351.508,0.7,314.5,1,0.229635,"Train",-0.470365,"Dataset_2"
618897.9326,9103974.083,0.7,314.5,1,0.291926,"Train",-0.408074,"Dataset_2"
651142.6529,9121319.544,0.7,314.5,1,14.3134,"Train",13.6134,"Dataset_2"
648149.196,9118365.203,7,314.5,1,12.2064,"Train",5.2064,"Dataset_2"
624478.3225,9099792.562,1.4e-06,314.5,1,0.113639,"Train",0.1136376,"Dataset_2"
644260.7247,9107510.933,1.4e-06,314.5,1,0.193925,"Train",0.1939236,"Dataset_2"
646012.7376,9111209.589,1.4e-06,314.5,1,0.462161,"Train",0.4621596,"Dataset_2"
647523.2046,9117008.734,1.4,314.5,1,7.08685,"Train",5.68685,"Dataset_2"
677235.2876,9116779.052,1.4e-06,314.5,1,0.10549,"Train",0.1054886,"Dataset_2"
662614.6427,9130791.934,1.4,314.5,1,2.56498,"Train",1.16498,"Dataset_2"
657522.2071,9169987.86,6,314.5,1,1.05807,"Train",-4.94193,"Dataset_2"
634367.0106,9167585.163,4.2,314.5,1,1.68328,"Train",-2.51672,"Dataset_2"
627007.6947,9161053.62,10.5,314.5,1,2.84421,"Train",-7.65579,"Dataset_2"
633514.9978,9174510.948,4.9,314.5,1,1.06728,"Train",-3.83272,"Dataset_2"
619406.2488,9108201.132,4.2,314.5,1,0.746682,"Train",-3.453318,"Dataset_2"
620533.6656,9111531.751,11.2,314.5,1,1.78008,"Train",-9.41992,"Dataset_2"
621286.3375,9114122.73,11.2,314.5,1,3.82539,"Train",-7.37461,"Dataset_2"
613044.9075,9114446.954,11.2,314.5,1,4.42213,"Train",-6.77787,"Dataset_2"
623311.5859,9118989.198,28,314.5,1,16.1346,"Train",-11.8654,"Dataset_2"
619298.3712,9105602.988,1.4,314.5,1,0.40142,"Train",-0.99858,"Dataset_2"
619300.9966,9106590.637,1.4,314.5,1,0.50381,"Train",-0.89619,"Dataset_2"
619298.3712,9105602.988,1.4,314.5,1,0.40142,"Train",-0.99858,"Dataset_2"
616598.9099,9131203.191,35,314.5,1,27.3819,"Train",-7.6181,"Dataset_2"
610338.7816,9139186.343,42,314.5,1,13.4353,"Train",-28.5647,"Dataset_2"
629798.3207,9138024.302,28,314.5,1,24.2434,"Train",-3.7566,"Dataset_2"
630532.5213,9122797.613,49,314.5,1,52.888,"Train",3.888,"Dataset_2"
631589.4355,9122856.338,56,314.5,1,56.576,"Train",0.576000000000001,"Dataset_2"
634325.4446,9123157.158,63,314.5,1,70.7729,"Train",7.77290000000001,"Dataset_2"
635568.5055,9123091.738,70,314.5,1,76.9905,"Train",6.9905,"Dataset_2"
638982.8543,9121568.514,70,314.5,1,75.2523,"Train",5.25230000000001,"Dataset_2"
646602.6425,9127959.942,140,314.5,1,128.844,"Train",-11.156,"Dataset_2"
647444.6314,9128791.07,112,314.5,1,111.641,"Train",-0.358999999999995,"Dataset_2"
649546.8542,9125202.042,49,314.5,1,59.5615,"Train",10.5615,"Dataset_2"
649963.3306,9128999.119,28,314.5,1,68.7121,"Train",40.7121,"Dataset_2"
649323.0961,9132892.59,14,314.5,1,58.4326,"Train",44.4326,"Dataset_2"
638403.7704,9140957.084,2.1,314.5,1,19.3453,"Train",17.2453,"Dataset_2"
639182.8576,9141541.673,1.4,314.5,1,18.0687,"Train",16.6687,"Dataset_2"
638023.806,9149206.377,21,314.5,1,7.89376,"Train",-13.10624,"Dataset_2"
617501.5074,9150188.734,10.5,314.5,1,6.42748,"Train",-4.07252,"Dataset_2"
624103,9111696.128,7,314.5,0,1.58959,"Test",-5.41041,"Dataset_1"
629936,9122930.73,56,314.5,0,52.3131,"Test",-3.6869,"Dataset_1"
629549,9142131.799,28,314.5,0,15.4998,"Test",-12.5002,"Dataset_1"
606002,9134454.513,35,314.5,0,15.1821,"Test",-19.8179,"Dataset_1"
623903,9139886.513,28,314.5,0,17.4143,"Test",-10.5857,"Dataset_1"
626002,9116568.401,14,314.5,0,8.61579,"Test",-5.38421,"Dataset_1"
648254,9143394.028,14,314.5,0,13.8849,"Test",-0.1151,"Dataset_1"
635545,9123596.347,70,314.5,0,82.8149,"Test",12.8149,"Dataset_1"
604054,9159569.497,1.4,314.5,0,2.78608,"Test",1.38608,"Dataset_1"
634336,9120657.35,42,314.5,0,42.2998,"Test",0.299799999999998,"Dataset_1"
637194,9125075.016,112,314.5,0,110.845,"Test",-1.155,"Dataset_1"
606831,9143436.125,21,314.5,0,9.13249,"Test",-11.86751,"Dataset_1"
620935,9118808.97,14,314.5,0,13.8918,"Test",-0.1082,"Dataset_1"
644675,9139335.273,7,314.5,0,24.6368,"Test",17.6368,"Dataset_1"
617445,9135784.492,28,314.5,0,21.2317,"Test",-6.7683,"Dataset_1"
625423,9127624.25,42,314.5,0,52.4144,"Test",10.4144,"Dataset_1"
