"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,7.86683,"Train",0.86683,"Dataset_1"
599496,9129733.082,7,314.5,1,9.16675,"Train",2.16675,"Dataset_1"
599783,9159855.018,1.4,314.5,1,1.87746,"Train",0.47746,"Dataset_1"
600480,9153130.672,2.8,314.5,1,3.02693,"Train",0.22693,"Dataset_1"
606322,9127239.31,21,314.5,1,12.6977,"Train",-8.3023,"Dataset_1"
608892,9131373.431,21,314.5,1,14.9694,"Train",-6.0306,"Dataset_1"
608915,9123126.881,14,314.5,1,11.6913,"Train",-2.3087,"Dataset_1"
609499,9126559.233,28,314.5,1,15.0084,"Train",-12.9916,"Dataset_1"
610624,9129342.239,35,314.5,1,16.9008,"Train",-18.0992,"Dataset_1"
610845,9139787.292,16.8,314.5,1,10.2562,"Train",-6.5438,"Dataset_1"
611217,9133011.055,42,314.5,1,16.0166,"Train",-25.9834,"Dataset_1"
611574,9141321.215,14,314.5,1,9.27963,"Train",-4.72037,"Dataset_1"
611991,9151621.43,1.4,314.5,1,4.06183,"Train",2.66183,"Dataset_1"
612110,9121116.642,14,314.5,1,11.349,"Train",-2.651,"Dataset_1"
612533,9150050.7,2.8,314.5,1,4.64432,"Train",1.84432,"Dataset_1"
612668,9159396.392,1.4,314.5,1,2.24483,"Train",0.84483,"Dataset_1"
614096,9119345.682,14,314.5,1,9.73663,"Train",-4.26337,"Dataset_1"
622919,9113185.954,14,314.5,1,2.80047,"Train",-11.19953,"Dataset_1"
623586,9115260.451,14,314.5,1,5.58704,"Train",-8.41296,"Dataset_1"
625181,9124003.648,42,314.5,1,41.1741,"Train",-0.825899999999997,"Dataset_1"
627188,9109257.98,7,314.5,1,0.76965,"Train",-6.23035,"Dataset_1"
628158,9123335.041,42,314.5,1,46.0879,"Train",4.0879,"Dataset_1"
628398,9141296.458,14,314.5,1,14.2523,"Train",0.2523,"Dataset_1"
629033,9131696.292,35,314.5,1,48.907,"Train",13.907,"Dataset_1"
629452,9119479.717,14,314.5,1,24.6395,"Train",10.6395,"Dataset_1"
630045,9135164.262,49,314.5,1,33.7581,"Train",-15.2419,"Dataset_1"
630322,9122948.062,84,314.5,1,49.8981,"Train",-34.1019,"Dataset_1"
630400,9117932.035,14,314.5,1,17.5942,"Train",3.5942,"Dataset_1"
630971,9140026.93,28,314.5,1,17.8023,"Train",-10.1977,"Dataset_1"
631505,9115652.839,2.8,314.5,1,9.51632,"Train",6.71632,"Dataset_1"
632279,9130455.431,84,314.5,1,68.3204,"Train",-15.6796,"Dataset_1"
632377,9119879.829,28,314.5,1,32.9903,"Train",4.9903,"Dataset_1"
632427,9123347.462,56,314.5,1,61.0004,"Train",5.0004,"Dataset_1"
633004,9141759.666,14,314.5,1,14.8035,"Train",0.8035,"Dataset_1"
633487,9113834.827,2.8,314.5,1,5.65419,"Train",2.85419,"Dataset_1"
633828,9114236.196,7,314.5,1,6.69612,"Train",-0.30388,"Dataset_1"
633842,9128466.705,84,314.5,1,86.3139,"Train",2.3139,"Dataset_1"
633976,9121994.54,56,314.5,1,57.098,"Train",1.098,"Dataset_1"
633989,9137935.861,21,314.5,1,26.2936,"Train",5.2936,"Dataset_1"
634320,9144480.36,7,314.5,1,10.712,"Train",3.712,"Dataset_1"
634862,9118066.462,28,314.5,1,25.591,"Train",-2.409,"Dataset_1"
634952,9118702.01,70,314.5,1,30.7141,"Train",-39.2859,"Dataset_1"
635415,9126044.779,84,314.5,1,98.1095,"Train",14.1095,"Dataset_1"
635544,9146255.265,7,314.5,1,8.77104,"Train",1.77104,"Dataset_1"
636257,9119767.038,84,314.5,1,45.214,"Train",-38.786,"Dataset_1"
636417,9125246.272,112,314.5,1,103.615,"Train",-8.38500000000001,"Dataset_1"
636496,9112916.659,14,314.5,1,4.39545,"Train",-9.60455,"Dataset_1"
637324,9123483.541,84,314.5,1,97.5274,"Train",13.5274,"Dataset_1"
637327,9123468.174,56,314.5,1,97.3865,"Train",41.3865,"Dataset_1"
638642,9143352.802,14,314.5,1,12.6942,"Train",-1.3058,"Dataset_1"
639389,9132701.354,112,314.5,1,78.7689,"Train",-33.2311,"Dataset_1"
639846,9149492.409,2.8,314.5,1,6.12413,"Train",3.32413,"Dataset_1"
641953,9123024.034,168,314.5,1,138.543,"Train",-29.457,"Dataset_1"
642104,9131055.914,112,314.5,1,110.637,"Train",-1.363,"Dataset_1"
642451,9136494.715,7,314.5,1,40.9641,"Train",33.9641,"Dataset_1"
642882,9113422.194,14,314.5,1,5.04732,"Train",-8.95268,"Dataset_1"
643431,9150372.425,2.8,314.5,1,5.46654,"Train",2.66654,"Dataset_1"
643470,9131143.84,84,314.5,1,110.274,"Train",26.274,"Dataset_1"
644200,9134501.961,21,314.5,1,61.045,"Train",40.045,"Dataset_1"
645934,9145238.163,7,314.5,1,9.78601,"Train",2.78601,"Dataset_1"
650322,9128471.143,105,314.5,1,65.4486,"Train",-39.5514,"Dataset_1"
650341,9128483.37,84,314.5,1,65.1638,"Train",-18.8362,"Dataset_1"
651164,9132839.477,84,314.5,1,45.1637,"Train",-38.8363,"Dataset_1"
651300,9132255.402,63,314.5,1,46.3238,"Train",-16.6762,"Dataset_1"
668317.7975,9196820.953,0.7,314.5,0.5,0.205228,"Train",-0.494772,"Dataset_2"
652621.9744,9195139.467,0.7,314.5,0.5,0.252326,"Train",-0.447674,"Dataset_2"
637425.4904,9193204.557,0.7,314.5,0.5,0.288926,"Train",-0.411074,"Dataset_2"
632441.8997,9191981.208,0.7,314.5,0.5,0.307969,"Train",-0.392031,"Dataset_2"
631924.7601,9184809.431,0.7,314.5,0.5,0.42738,"Train",-0.27262,"Dataset_2"
632655.6349,9178871.831,0.7,314.5,0.5,0.585756,"Train",-0.114244,"Dataset_2"
626355.6932,9104570.93,0.7,314.5,0.5,0.182081,"Train",-0.517919,"Dataset_2"
622808.2592,9102482.121,0.7,314.5,0.5,0.132492,"Train",-0.567508,"Dataset_2"
620884.5247,9103351.508,0.7,314.5,0.5,0.172065,"Train",-0.527935,"Dataset_2"
618897.9326,9103974.083,0.7,314.5,0.5,0.218522,"Train",-0.481478,"Dataset_2"
651142.6529,9121319.544,0.7,314.5,0.5,23.421,"Train",22.721,"Dataset_2"
648149.196,9118365.203,7,314.5,0.5,23.0631,"Train",16.0631,"Dataset_2"
624478.3225,9099792.562,1.4e-06,314.5,0.5,0.0805973,"Train",0.0805959,"Dataset_2"
644260.7247,9107510.933,1.4e-06,314.5,0.5,0.265711,"Train",0.2657096,"Dataset_2"
646012.7376,9111209.589,1.4e-06,314.5,0.5,1.21425,"Train",1.2142486,"Dataset_2"
647523.2046,9117008.734,1.4,314.5,0.5,15.4149,"Train",14.0149,"Dataset_2"
677235.2876,9116779.052,1.4e-06,314.5,0.5,0.0739004,"Train",0.073899,"Dataset_2"
662614.6427,9130791.934,1.4,314.5,0.5,2.31443,"Train",0.91443,"Dataset_2"
657522.2071,9169987.86,6,314.5,0.5,0.766544,"Train",-5.233456,"Dataset_2"
634367.0106,9167585.163,4.2,314.5,0.5,1.22943,"Train",-2.97057,"Dataset_2"
