"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,13.2767,"Train",6.2767,"Dataset_1"
599496,9129733.082,7,314.5,1,15.1908,"Train",8.1908,"Dataset_1"
599783,9159855.018,1.4,314.5,1,2.55319,"Train",1.15319,"Dataset_1"
600480,9153130.672,2.8,314.5,1,4.30142,"Train",1.50142,"Dataset_1"
606322,9127239.31,21,314.5,1,19.6825,"Train",-1.3175,"Dataset_1"
608892,9131373.431,21,314.5,1,22.2663,"Train",1.2663,"Dataset_1"
608915,9123126.881,14,314.5,1,18.0183,"Train",4.0183,"Dataset_1"
609499,9126559.233,28,314.5,1,22.1659,"Train",-5.8341,"Dataset_1"
610624,9129342.239,35,314.5,1,24.3125,"Train",-10.6875,"Dataset_1"
610845,9139787.292,16.8,314.5,1,15.1047,"Train",-1.6953,"Dataset_1"
611217,9133011.055,42,314.5,1,23.1534,"Train",-18.8466,"Dataset_1"
611574,9141321.215,14,314.5,1,13.4751,"Train",-0.524900000000001,"Dataset_1"
611991,9151621.43,1.4,314.5,1,5.24049,"Train",3.84049,"Dataset_1"
612110,9121116.642,14,314.5,1,17.3533,"Train",3.3533,"Dataset_1"
612533,9150050.7,2.8,314.5,1,6.07086,"Train",3.27086,"Dataset_1"
612668,9159396.392,1.4,314.5,1,2.69873,"Train",1.29873,"Dataset_1"
614096,9119345.682,14,314.5,1,15.3436,"Train",1.3436,"Dataset_1"
622919,9113185.954,14,314.5,1,6.0189,"Train",-7.9811,"Dataset_1"
623586,9115260.451,14,314.5,1,10.3076,"Train",-3.6924,"Dataset_1"
625181,9124003.648,42,314.5,1,42.7584,"Train",0.758400000000002,"Dataset_1"
627188,9109257.98,7,314.5,1,1.69819,"Train",-5.30181,"Dataset_1"
628158,9123335.041,42,314.5,1,49.2316,"Train",7.2316,"Dataset_1"
628398,9141296.458,14,314.5,1,16.5223,"Train",2.5223,"Dataset_1"
629033,9131696.292,35,314.5,1,45.701,"Train",10.701,"Dataset_1"
629452,9119479.717,14,314.5,1,32.4278,"Train",18.4278,"Dataset_1"
630045,9135164.262,49,314.5,1,33.2196,"Train",-15.7804,"Dataset_1"
630322,9122948.062,84,314.5,1,55.1904,"Train",-28.8096,"Dataset_1"
630400,9117932.035,14,314.5,1,24.6145,"Train",10.6145,"Dataset_1"
630971,9140026.93,28,314.5,1,19.2679,"Train",-8.7321,"Dataset_1"
631505,9115652.839,2.8,314.5,1,13.8174,"Train",11.0174,"Dataset_1"
632279,9130455.431,84,314.5,1,57.4311,"Train",-26.5689,"Dataset_1"
632377,9119879.829,28,314.5,1,41.2245,"Train",13.2245,"Dataset_1"
632427,9123347.462,56,314.5,1,65.9708,"Train",9.9708,"Dataset_1"
633004,9141759.666,14,314.5,1,15.7986,"Train",1.7986,"Dataset_1"
633487,9113834.827,2.8,314.5,1,7.54553,"Train",4.74553,"Dataset_1"
633828,9114236.196,7,314.5,1,8.69603,"Train",1.69603,"Dataset_1"
633842,9128466.705,84,314.5,1,72.1267,"Train",-11.8733,"Dataset_1"
633976,9121994.54,56,314.5,1,63.6452,"Train",7.6452,"Dataset_1"
633989,9137935.861,21,314.5,1,24.8364,"Train",3.8364,"Dataset_1"
