"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
596391,9130209.571,7,314.5,1,8.53071,"Train",1.53071,"Dataset_1"
599496,9129733.082,7,314.5,1,10.6216,"Train",3.6216,"Dataset_1"
599783,9159855.018,1.4,314.5,1,0.125874,"Train",-1.274126,"Dataset_1"
600480,9153130.672,2.8,314.5,1,0.402305,"Train",-2.397695,"Dataset_1"
606322,9127239.31,21,314.5,1,16.8739,"Train",-4.1261,"Dataset_1"
608892,9131373.431,21,314.5,1,18.206,"Train",-2.794,"Dataset_1"
608915,9123126.881,14,314.5,1,14.0648,"Train",0.0648,"Dataset_1"
609499,9126559.233,28,314.5,1,20.8316,"Train",-7.1684,"Dataset_1"
610624,9129342.239,35,314.5,1,22.8575,"Train",-12.1425,"Dataset_1"
610845,9139787.292,16.8,314.5,1,5.80426,"Train",-10.99574,"Dataset_1"
611217,9133011.055,42,314.5,1,17.5125,"Train",-24.4875,"Dataset_1"
611574,9141321.215,14,314.5,1,4.52304,"Train",-9.47696,"Dataset_1"
611991,9151621.43,1.4,314.5,1,0.709462,"Train",-0.690538,"Dataset_1"
612110,9121116.642,14,314.5,1,12.3288,"Train",-1.6712,"Dataset_1"
612533,9150050.7,2.8,314.5,1,0.962545,"Train",-1.837455,"Dataset_1"
612668,9159396.392,1.4,314.5,1,0.159315,"Train",-1.240685,"Dataset_1"
614096,9119345.682,14,314.5,1,8.96305,"Train",-5.03695,"Dataset_1"
622919,9113185.954,14,314.5,1,0.714985,"Train",-13.285015,"Dataset_1"
623586,9115260.451,14,314.5,1,2.45007,"Train",-11.54993,"Dataset_1"
625181,9124003.648,42,314.5,1,52.1726,"Train",10.1726,"Dataset_1"
627188,9109257.98,7,314.5,1,0.0246169,"Train",-6.9753831,"Dataset_1"
628158,9123335.041,42,314.5,1,56.0483,"Train",14.0483,"Dataset_1"
628398,9141296.458,14,314.5,1,7.53189,"Train",-6.46811,"Dataset_1"
