#HEIGHT	SPEED	DIRECTION
110 2.00 95.30
325 2.20 95.90
540 3.60 87.40
760 4.00 81.20
990 4.70 73.50
1220 5.50 67.30
1455 6.30 62.80
1700 6.90 59.20
1950 7.10 55.90
2205 6.80 50.40
2465 6.80 42.00
3010 7.50 25.60
3590 8.20 18.90
4205 7.30 14.20
4865 5.70 9.20
5570 3.30 10.30
6340 1.90 342.80
7180 3.80 277.50
8115 6.90 272.20
9160 8.90 283.50
10360 14.40 288.60
11030 17.70 283.30
11770 21.10 275.80
12585 24.30 270.60
13505 27.40 267.10
14555 34.50 257.50
15790 31.20 250.50
17660 6.00 266.20
19315 6.20 271.50
21630 5.90 256.20
23315 7.70 274.80
25905 30.20 268.90
27115 41.80 273.50
28180 49.70 271.70
29675 69.00 270.80
30760 64.80 271.90
32435 33.50 278.00
