Easting,Northing,Observation,Prediction,Dataset
596391,9130209.571,7,10.79,Dataset_1
599496,9129733.082,7,12.3575,Dataset_1
599783,9159855.018,1.4,2.33973,Dataset_1
600480,9153130.672,2.8,4.38118,Dataset_1
606322,9127239.31,21,16.1392,Dataset_1
608892,9131373.431,21,19.7103,Dataset_1
608915,9123126.881,14,14.6766,Dataset_1
609499,9126559.233,28,18.6175,Dataset_1
610624,9129342.239,35,21.3034,Dataset_1
610845,9139787.292,16.8,15.5447,Dataset_1
611217,9133011.055,42,21.4998,Dataset_1
611574,9141321.215,14,14.2314,Dataset_1
611991,9151621.43,1.4,5.70365,Dataset_1
612110,9121116.642,14,14.6442,Dataset_1
612533,9150050.7,2.8,6.68296,Dataset_1
612668,9159396.392,1.4,2.59537,Dataset_1
614096,9119345.682,14,13.3589,Dataset_1
622919,9113185.954,14,6.57381,Dataset_1
623586,9115260.451,14,10.9472,Dataset_1
625181,9124003.648,42,42.735,Dataset_1
627188,9109257.98,7,2.22947,Dataset_1
628158,9123335.041,42,50.539,Dataset_1
628398,9141296.458,14,18.4291,Dataset_1
629033,9131696.292,35,50.4154,Dataset_1
629452,9119479.717,14,34.6685,Dataset_1
630045,9135164.262,49,37.6611,Dataset_1
630322,9122948.062,84,57.5023,Dataset_1
630400,9117932.035,14,27.3612,Dataset_1
630971,9140026.93,28,21.4601,Dataset_1
631505,9115652.839,2.8,16.5852,Dataset_1
632279,9130455.431,84,63.7476,Dataset_1
632377,9119879.829,28,44.7701,Dataset_1
632427,9123347.462,56,69.2387,Dataset_1
633004,9141759.666,14,17.0911,Dataset_1
633487,9113834.827,2.8,10.0037,Dataset_1
633828,9114236.196,7,11.4197,Dataset_1
633842,9128466.705,84,78.5785,Dataset_1
633976,9121994.54,56,67.5075,Dataset_1
633989,9137935.861,21,27.7384,Dataset_1
634320,9144480.36,7,11.9387,Dataset_1
634862,9118066.462,28,34.8561,Dataset_1
634952,9118702.01,70,40.5516,Dataset_1
635415,9126044.779,84,92.2392,Dataset_1
635544,9146255.265,7,9.37147,Dataset_1
636257,9119767.038,84,53.4967,Dataset_1
636417,9125246.272,112,96.6636,Dataset_1
636496,9112916.659,14,6.98374,Dataset_1
637324,9123483.541,84,93.3657,Dataset_1
637327,9123468.174,56,93.2723,Dataset_1
638642,9143352.802,14,12.5164,Dataset_1
639389,9132701.354,112,55.0064,Dataset_1
639846,9149492.409,2.8,5.67398,Dataset_1
641953,9123024.034,168,95.2709,Dataset_1
642104,9131055.914,112,64.0048,Dataset_1
642451,9136494.715,7,27.8396,Dataset_1
642882,9113422.194,14,5.60045,Dataset_1
643431,9150372.425,2.8,4.52946,Dataset_1
643470,9131143.84,84,58.3461,Dataset_1
644200,9134501.961,21,33.6457,Dataset_1
645934,9145238.163,7,7.40871,Dataset_1
650322,9128471.143,105,29.1774,Dataset_1
650341,9128483.37,84,29.0403,Dataset_1
651164,9132839.477,84,18.1198,Dataset_1
651300,9132255.402,63,18.5968,Dataset_1
668317.7975,9196820.953,0.7,0.0696441,Dataset_2
652621.9744,9195139.467,0.7,0.0880026,Dataset_2
637425.4904,9193204.557,0.7,0.108107,Dataset_2
632441.8997,9191981.208,0.7,0.119949,Dataset_2
631924.7601,9184809.431,0.7,0.183688,Dataset_2
632655.6349,9178871.831,0.7,0.289528,Dataset_2
626355.6932,9104570.93,0.7,0.449573,Dataset_2
622808.2592,9102482.121,0.7,0.251276,Dataset_2
620884.5247,9103351.508,0.7,0.357589,Dataset_2
618897.9326,9103974.083,0.7,0.45616,Dataset_2
651142.6529,9121319.544,0.7,15.4721,Dataset_2
648149.196,9118365.203,7,15.9234,Dataset_2
624478.3225,9099792.562,1.40E-06,0.0942789,Dataset_2
644260.7247,9107510.933,1.40E-06,0.374735,Dataset_2
646012.7376,9111209.589,1.40E-06,1.4531,Dataset_2
647523.2046,9117008.734,1.4,11.5657,Dataset_2
677235.2876,9116779.052,1.40E-06,0.0247525,Dataset_2
662614.6427,9130791.934,1.4,1.96079,Dataset_2
657522.2071,9169987.86,6,0.364223,Dataset_2
634367.0106,9167585.163,4.2,0.845676,Dataset_2
627007.6947,9161053.62,10.5,1.96978,Dataset_2
633514.9978,9174510.948,4.9,0.425291,Dataset_2
619406.2488,9108201.132,4.2,1.6195,Dataset_2
620533.6656,9111531.751,11.2,4.05816,Dataset_2
621286.3375,9114122.73,11.2,7.73791,Dataset_2
613044.9075,9114446.954,11.2,5.87895,Dataset_2
623311.5859,9118989.198,28,21.7056,Dataset_2
619298.3712,9105602.988,1.4,0.75101,Dataset_2
619300.9966,9106590.637,1.4,1.0121,Dataset_2
619298.3712,9105602.988,1.4,0.75101,Dataset_2
616598.9099,9131203.191,35,28.7048,Dataset_2
610338.7816,9139186.343,42,15.9114,Dataset_2
629798.3207,9138024.302,28,27.1723,Dataset_2
630532.5213,9122797.613,49,57.6378,Dataset_2
631589.4355,9122856.338,56,62.6061,Dataset_2
634325.4446,9123157.158,63,77.5322,Dataset_2
635568.5055,9123091.738,70,83.0472,Dataset_2
638982.8543,9121568.514,70,79.6105,Dataset_2
646602.6425,9127959.942,140,60.8545,Dataset_2
647444.6314,9128791.07,112,49.562,Dataset_2
649546.8542,9125202.042,49,36.5974,Dataset_2
649963.3306,9128999.119,28,30.5308,Dataset_2
649323.0961,9132892.59,14,23.9651,Dataset_2
638403.7704,9140957.084,2.1,17.2317,Dataset_2
639182.8576,9141541.673,1.4,15.5987,Dataset_2
638023.806,9149206.377,21,6.18099,Dataset_2
617501.5074,9150188.734,10.5,6.78897,Dataset_2
624103,9111696.128,7,4.58901,Dataset_1
629936,9122930.73,56,55.7974,Dataset_1
629549,9142131.799,28,16.6913,Dataset_1
606002,9134454.513,35,16.6154,Dataset_1
623903,9139886.513,28,20.7329,Dataset_1
626002,9116568.401,14,16.2484,Dataset_1
648254,9143394.028,14,7.99378,Dataset_1
635545,9123596.347,70,86.2226,Dataset_1
604054,9159569.497,1.4,2.48075,Dataset_1
634336,9120657.35,42,57.2916,Dataset_1
637194,9125075.016,112,99.777,Dataset_1
606831,9143436.125,21,10.8611,Dataset_1
620935,9118808.97,14,18.3304,Dataset_1
644675,9139335.273,7,16.5423,Dataset_1
617445,9135784.492,28,24.6946,Dataset_1
625423,9127624.25,42,48.556,Dataset_1
